-0.70,6371.70,3.3200,1.8757
0.00,6371.00,3.3300,1.8814
1.00,6370.00,4.4300,2.5028
2.00,6369.00,4.8900,2.7627
3.00,6368.00,5.9500,3.3615
4.00,6367.00,6.1300,3.4633
5.00,6366.00,6.6300,3.7457
6.00,6365.00,7.4100,4.1865
7.00,6364.00,7.5600,4.2712
10.00,6361.00,7.8000,4.4068
30.00,6341.00,8.0000,4.5198
